Wall time,Step,Value
1647118226.379471,0,0.01686934195458889
1647122884.759068,1,0.016268473118543625
1647127535.214221,2,0.013647115789353848
1647132192.879982,3,0.013552550226449966
1647136850.629965,4,0.01349611859768629
1647141510.180662,5,0.013455081731081009
1647146165.61258,6,0.01342522632330656
1647150823.542946,7,0.013399843126535416
1647155473.882963,8,0.013378930278122425
1647160163.770788,9,0.013358119875192642
1647164886.509832,10,0.013342463411390781
1647169721.204018,11,0.013329868204891682
1647174386.649681,12,0.013316545635461807
1647179177.404204,13,0.013304967433214188
